iso3,year,bloc,tapio,regime_viterbi
PRY,2019,MERCOSUR,SND,2
PRY,2020,MERCOSUR,RND,2
PRY,2021,MERCOSUR,SD,2
PRY,2022,MERCOSUR,SD,2
PRY,2023,MERCOSUR,WD,2
PRY,2024,MERCOSUR,WD,2
ROU,1995,EU,WD,2
ROU,1996,EU,SD,2
ROU,1997,EU,RD,1
ROU,1998,EU,RND,1
ROU,1999,EU,RND,1
ROU,2000,EU,WD,2
ROU,2001,EU,END,2
ROU,2002,EU,SD,2
ROU,2003,EU,END,2
ROU,2004,EU,END,2
ROU,2005,EU,EC,2
ROU,2006,EU,WD,2
ROU,2007,EU,END,2
ROU,2008,EU,EC,2
ROU,2009,EU,RND,2
ROU,2010,EU,SND,2
ROU,2011,EU,END,2
ROU,2012,EU,SD,2
ROU,2013,EU,SD,2
ROU,2014,EU,WD,2
ROU,2015,EU,END,2
ROU,2016,EU,SD,2
ROU,2017,EU,END,2
ROU,2018,EU,END,2
ROU,2019,EU,WD,2
ROU,2020,EU,RND,2
ROU,2021,EU,END,2
ROU,2022,EU,WD,2
ROU,2023,EU,END,2
ROU,2024,EU,END,2
SVK,1995,EU,END,2
SVK,1996,EU,END,2
SVK,1997,EU,END,2
SVK,1998,EU,SD,2
SVK,1999,EU,SND,2
SVK,2000,EU,SD,2
SVK,2001,EU,SD,2
SVK,2002,EU,WD,2
SVK,2003,EU,SD,2
SVK,2004,EU,END,2
SVK,2005,EU,END,2
SVK,2006,EU,SD,2
SVK,2007,EU,WD,2
SVK,2008,EU,END,2
SVK,2009,EU,RND,2
SVK,2010,EU,SD,2
SVK,2011,EU,EC,2
SVK,2012,EU,SD,2
SVK,2013,EU,END,2
SVK,2014,EU,END,2
SVK,2015,EU,SD,2
SVK,2016,EU,END,2
SVK,2017,EU,SD,2
SVK,2018,EU,END,2
SVK,2019,EU,END,2
SVK,2020,EU,RND,2
SVK,2021,EU,EC,2
SVK,2022,EU,SD,2
SVK,2023,EU,END,2
SVK,2024,EU,END,2
SVN,1995,EU,END,2
SVN,1996,EU,SD,2
SVN,1997,EU,WD,2
SVN,1998,EU,END,2
SVN,1999,EU,SD,2
SVN,2000,EU,END,2
SVN,2001,EU,SD,2
SVN,2002,EU,END,2
SVN,2003,EU,END,2
SVN,2004,EU,WD,2
SVN,2005,EU,SD,2
SVN,2006,EU,WD,2
